uuid,barcode
7679db18-e06c-4af1-afb0-c7aacbf6dc94,TCGA-EW-A1P5-10A-01D-A898-36
b74f2a4c-d796-4310-90e6-b3a0ee0b7a7b,TCGA-AN-A0FJ-01A-11D-A891-36
f36e613e-af30-4b1c-aaf3-89540e05ddb1,TCGA-B6-A0IG-01A-11R-A034-07
24c5fcbb-019c-4636-813b-0b9d4d1d9501,TCGA-A2-A0EM-01A-11R-A034-07
7cff3097-6cff-4bb8-a34b-27fb129652bb,TCGA-AC-A23C-10A-01D-A899-36
0c479de5-bc07-4b46-9b48-c258ec125525,TCGA-D8-A1X8-10A-01D-A14J-01
635b3e60-325d-4a76-a8c7-2327ea178324,TCGA-5L-AAT0-01A-12D-A89F-36
0e1999e0-9c02-4804-88b6-60b46d100739,TCGA-A7-A0DC-01A-11R-A00Z-07
ddeb1445-08ae-441c-9f2a-4647df1b4ed6,TCGA-D8-A1XU-01A-11R-A14M-07
111b2865-e7dc-45c9-b206-20b5713714bc,TCGA-A8-A08B-01A-11R-A00Z-07
b5fc7f21-688b-4764-b0ce-c450ad902e06,TCGA-GM-A5PV-01A-11R-A28M-07
25c20f52-1031-4cd1-a9ed-4b2049b01a3e,TCGA-BH-A0HK-01A-11R-A056-07
9a6563cf-557b-4f26-b6a2-6c6f1eb03654,TCGA-BH-A0BM-01A-11R-A056-07
9c00a43c-1da0-4e3b-b7e2-54a48d29ecae,TCGA-A1-A0SN-01A-11R-A144-07
0e9ea184-c4bc-43f0-817c-8a950008e4bd,TCGA-D8-A27K-01A-11R-A16F-07
b9bdb9d3-4d2b-4a53-9804-d0511174e553,TCGA-A7-A0CH-11A-32R-A089-07
268eed55-913e-470b-8940-68daae0b21aa,TCGA-D8-A1JJ-01A-31R-A14M-07
c8b0b391-320c-4fea-9b68-3070103cb148,TCGA-A2-A4RW-01A-21R-A266-07
70f7e473-4a58-4186-aedd-1bab29bef4f3,TCGA-EW-A1P5-01A-11R-A144-07
207ea988-6795-460c-bfeb-382d8c758f31,TCGA-E9-A1NG-11A-52R-A14M-07
0ca579b1-763e-4f6a-a071-c6514aaa2f11,TCGA-BH-A0GY-01A-11R-A056-07
6bd03014-d3b8-4cac-929b-af970321ae1f,TCGA-A2-A0T7-01A-21R-A084-07
82255740-abaa-47b3-9def-89b0673d1cfb,TCGA-AR-A0TQ-01A-11R-A084-07
1320db11-22a5-417f-8ec7-65c0bf4681a2,TCGA-BH-A0AY-11A-23R-A089-07
12c6b269-434e-4a18-aa93-844bc9c5eb4d,TCGA-BH-A0HL-01A-11R-A10U-07
81138059-5789-4ea7-84e9-1490aa53a283,TCGA-BH-A0H9-11A-22R-A466-07
ca6e4602-bcd4-4299-bd31-37f585658b8a,TCGA-EW-A6S9-01A-22R-A33J-07
be386ce9-a12f-4c16-80ba-a5d47d5b374e,TCGA-E2-A1LB-11A-22R-A144-07
5997bdf5-2741-42c5-a01c-807864504c55,TCGA-C8-A8HQ-01A-11R-A36F-07
be002264-f534-49b3-90d1-fd5a3f622fb2,TCGA-D8-A143-01A-11R-A115-07
a2cb26d9-70e7-47ca-b019-a5fa136b42f7,TCGA-AN-A0FL-01A-11R-A034-07
2aa3a845-cce2-4fe2-92f7-1fece9e619d5,TCGA-BH-A209-01A-11R-A157-07
00469928-b243-4cae-acd7-134508e99ceb,TCGA-AC-A62X-01A-11R-A29R-07
4662f2d3-edd6-4260-a4ad-04c46ca54443,TCGA-E2-A10C-01A-21R-A10J-07
b1ad91fb-fb78-4896-83cd-dad028a1d297,TCGA-A7-A26J-01B-02R-A277-07
79d67844-5389-40ee-a1fd-5b19ecf81b73,TCGA-A7-A2KD-01A-31R-A21T-07
9928c491-426a-4507-8ddd-999d6b892e29,TCGA-A7-A3J1-01A-11R-A213-07
e94299a9-67bc-4c30-963c-1476fbb7d5ff,TCGA-AN-A0G0-01A-11R-A034-07
b38572d2-6f4c-45a7-b898-1eaee48c6865,TCGA-E9-A227-01A-11D-A160-01
ebfcfdfb-c166-4843-bb68-e983dc9abe06,TCGA-AO-A0JL-01A-11D-A059-01
84e7e0e6-2918-4a22-bdc2-52d2edb20f5c,TCGA-BH-A0DO-01B-11D-A12A-01
75bb4041-e566-4c56-8c31-b049e032b4b4,TCGA-AR-A256-01A-11D-A166-01
de5b3a30-bd89-4fe4-b3d5-f06e7765a799,TCGA-AR-A24N-10A-01D-A166-01
407ddd41-912e-4a5c-b613-1f91edfe1deb,TCGA-A7-A56D-01A-11D-A27O-01
4aa8a005-0706-4675-9d4d-cf27cc32634c,TCGA-BH-A0DK-01A-21D-A059-01
64d1e1b9-084c-4def-a758-84cae0864a3a,TCGA-D8-A1JH-10A-01D-A13N-01
e3cfb618-5ed2-4841-b7c1-a9f049ac8f9d,TCGA-GM-A2DD-01A-11R-A180-07
5110e985-3ca0-4352-97db-333c563be569,TCGA-AO-A0J4-01A-11D-A128-09
8477bc84-d383-489e-bf66-4d60d5efde25,TCGA-BH-A0DK-10A-01D-A059-01
167fbad0-1667-4950-a6f1-065d425735f8,TCGA-AN-A03Y-01A-21D-A011-01
cde8361d-ade2-4103-b092-3ee9cbf85ea1,TCGA-C8-A3M8-01A-11R-A213-07
828126db-6ae6-4321-be68-5d941ded9af4,TCGA-E2-A15D-01A-11D-A895-36
7a8fa2ee-10f5-4261-89fc-47310eeb89de,TCGA-E9-A5FK-01A-11D-A89D-36
c9187c64-5370-4b5a-a7ed-dd92dd39dbfa,TCGA-E2-A1IL-01A-11D-A14F-01
ccd1dcec-f3c1-42ca-b3e8-a73a7d2237ff,TCGA-OL-A66N-01A-12R-A31O-07
